id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa,lemma,stem_lemma
429,high,English (American),WS,word,descriptive_words,predicates,adjectives,high,68169600,789,high,high
430,spill,English (American),WS,word,action_words,predicates,verbs,spill,68256000,790,spill,spill
431,scared,English (American),WS,word,descriptive_words,predicates,adjectives,scared,68256000,790,scared,scared
432,sick,English (American),WS,word,descriptive_words,predicates,adjectives,sick,68256000,790,sick,sick
433,donut,English (American),WS,word,food_drink,nouns,nouns,donut,68342400,791,donut,donut
434,empty,English (American),WS,word,descriptive_words,predicates,adjectives,empty,68342400,791,empty,empty
435,all,English (American),WS,word,quantifiers,function_words,function_words,all,68342400,791,all,all
436,plant,English (American),WS,word,household,nouns,nouns,plant,68428800,792,plant,plant
437,garage,English (American),WS,word,furniture_rooms,nouns,nouns,garage,68428800,792,garage,garage
438,rocking chair,English (American),WS,word,furniture_rooms,nouns,nouns,rocking chair,68515200,793,rocking chair,rocking chair
439,make,English (American),WS,word,action_words,predicates,verbs,make,68515200,793,make,make
440,turkey,English (American),WS,word,animals,nouns,nouns,turkey,68601600,794,turkey,turkey
441,slipper,English (American),WS,word,clothing,nouns,nouns,slipper,68688000,795,slipper,slipper
442,so big!,English (American),WS,word,games_routines,other,other,so big,68688000,795,so big,so big
443,this little piggy,English (American),WS,word,games_routines,other,other,this little piggy,68688000,795,this little piggy,this little piggy
444,feed,English (American),WS,word,action_words,predicates,verbs,feed,68688000,795,feed,feed
445,quiet,English (American),WS,word,descriptive_words,predicates,adjectives,quiet,68688000,795,quiet,quiet
446,wake,English (American),WS,word,action_words,predicates,verbs,wake,68774400,796,wake,wake
447,penny,English (American),WS,word,household,nouns,nouns,penny,68860800,797,penny,penny
448,beach,English (American),WS,word,places,other,other,beach,68860800,797,beach,beach
449,friend,English (American),WS,word,people,other,other,friend,68860800,797,friend,friend
450,under,English (American),WS,word,locations,function_words,function_words,under,68860800,797,under,under
451,oven,English (American),WS,word,furniture_rooms,nouns,nouns,oven,68947200,798,oven,oven
452,bring,English (American),WS,word,action_words,predicates,verbs,bring,68947200,798,bring,bring
453,hear,English (American),WS,word,action_words,predicates,verbs,hear,68947200,798,hear,hear
454,put,English (American),WS,word,action_words,predicates,verbs,put,68947200,798,put,put
455,smile,English (American),WS,word,action_words,predicates,verbs,smile,69033600,799,smile,smile
456,take,English (American),WS,word,action_words,predicates,verbs,take,69033600,799,take,take
457,morning,English (American),WS,word,time_words,other,other,morning,69033600,799,morning,morning
458,penguin,English (American),WS,word,animals,nouns,nouns,penguin,69120000,800,penguin,penguin
459,white,English (American),WS,word,descriptive_words,predicates,adjectives,white,69120000,800,white,white
460,play dough,English (American),WS,word,toys,nouns,nouns,play dough,69206400,801,play dough,play dough
461,backyard,English (American),WS,word,outside,nouns,nouns,yard,69292800,802,yard,yard
462,brown,English (American),WS,word,descriptive_words,predicates,adjectives,brown,69292800,802,brown,brown
463,lawn mower,English (American),WS,word,outside,nouns,nouns,lawn mower,69379200,803,lawn mower,lawn mower
464,lamb,English (American),WS,word,animals,nouns,nouns,lamb,69465600,804,lamb,lamb
465,penis (child's word),English (American),WS,word,body_parts,nouns,nouns,penis,69465600,804,penis,penis
466,write,English (American),WS,word,action_words,predicates,verbs,write,69465600,804,write,write
467,gum,English (American),WS,word,food_drink,nouns,nouns,gum,69552000,805,gum,gum
468,full,English (American),WS,word,descriptive_words,predicates,adjectives,full,69552000,805,full,full
469,dish,English (American),WS,word,household,nouns,nouns,dish,69638400,806,dish,dish
470,movie,English (American),WS,word,places,other,other,movie,69638400,806,movie,movie
471,better,English (American),WS,word,descriptive_words,predicates,adjectives,better,69638400,806,better,better
472,people,English (American),WS,word,people,other,other,people,69724800,807,people,people
473,away,English (American),WS,word,locations,function_words,function_words,away,69724800,807,away,away
474,hose,English (American),WS,word,outside,nouns,nouns,hose,69897600,809,hose,hose
475,church (child's word),English (American),WS,word,places,other,other,church,69897600,809,church,church
476,clown,English (American),WS,word,people,other,other,clown,69897600,809,clown,clown
477,build,English (American),WS,word,action_words,predicates,verbs,build,69897600,809,build,build
478,say,English (American),WS,word,action_words,predicates,verbs,say,69897600,809,say,say
479,washing machine,English (American),WS,word,furniture_rooms,nouns,nouns,washing machine,69984000,810,washing machine,washing machine
480,show,English (American),WS,word,action_words,predicates,verbs,show,69984000,810,show,show
481,chalk,English (American),WS,word,toys,nouns,nouns,chalk,70070400,811,chalk,chalk
482,a,English (American),WS,word,quantifiers,function_words,function_words,a,70070400,811,a,a
483,ladder,English (American),WS,word,outside,nouns,nouns,ladder,70156800,812,ladder,ladder
484,snowman,English (American),WS,word,outside,nouns,nouns,snowman,70156800,812,snowman,snowman
485,hurry,English (American),WS,word,action_words,predicates,verbs,hurry,70156800,812,hurry,hurry
486,cute,English (American),WS,word,descriptive_words,predicates,adjectives,cute,70156800,812,cute,cute
487,over,English (American),WS,word,locations,function_words,function_words,over,70156800,812,over,over
488,gloves,English (American),WS,word,clothing,nouns,nouns,gloves,70243200,813,gloves,glove
489,radio,English (American),WS,word,household,nouns,nouns,radio,70243200,813,radio,radio
490,brother,English (American),WS,word,people,other,other,brother,70243200,813,brother,brother
491,windy,English (American),WS,word,descriptive_words,predicates,adjectives,windy,70243200,813,windy,windy
492,and,English (American),WS,word,connecting_words,function_words,function_words,and,70243200,813,and,and
493,nuts,English (American),WS,word,food_drink,nouns,nouns,nuts,70329600,814,nuts,nut
494,vitamins,English (American),WS,word,food_drink,nouns,nouns,vitamins,70329600,814,vitamins,vitamin
495,shoulder,English (American),WS,word,body_parts,nouns,nouns,shoulder,70329600,814,shoulder,shoulder
496,sandbox,English (American),WS,word,outside,nouns,nouns,sandbox,70329600,814,sandbox,sandbox
497,sister,English (American),WS,word,people,other,other,sister,70329600,814,sister,sister
498,shake,English (American),WS,word,action_words,predicates,verbs,shake,70329600,814,shake,shake
499,lollipop,English (American),WS,word,food_drink,nouns,nouns,lollipop,70416000,815,lollipop,lollipop
500,can (object),English (American),WS,word,household,nouns,nouns,can (object),70416000,815,can,can
501,goose,English (American),WS,word,animals,nouns,nouns,goose,70502400,816,goose,goose
502,drawer,English (American),WS,word,furniture_rooms,nouns,nouns,drawer,70502400,816,drawer,drawer
503,buy,English (American),WS,word,action_words,predicates,verbs,buy,70502400,816,buy,buy
504,living room,English (American),WS,word,furniture_rooms,nouns,nouns,living room,70675200,818,living room,living room
505,lick,English (American),WS,word,action_words,predicates,verbs,lick,70675200,818,lick,lick
506,can (auxiliary),English (American),WS,word,helping_verbs,function_words,function_words,can (auxiliary),70761600,819,can,can
507,yard,English (American),WS,word,places,other,other,yard,70848000,820,yard,yard
508,green beans,English (American),WS,word,food_drink,nouns,nouns,green beans,70934400,821,green beans,green beans
509,sidewalk,English (American),WS,word,outside,nouns,nouns,sidewalk,70934400,821,sidewalk,sidewalk
510,the,English (American),WS,word,quantifiers,function_words,function_words,the,71020800,822,the,the
511,underpants,English (American),WS,word,clothing,nouns,nouns,underpants,71107200,823,underpants,underpants
512,to,English (American),WS,word,locations,function_words,function_words,to,71107200,823,to,to
513,gonna/going to,English (American),WS,word,helping_verbs,function_words,function_words,gonna,71107200,823,gonna,gonna
514,jeans,English (American),WS,word,clothing,nouns,nouns,jeans,71193600,824,jeans,jean
515,later,English (American),WS,word,time_words,other,other,later,71193600,824,later,later
516,hard,English (American),WS,word,descriptive_words,predicates,adjectives,hard,71280000,825,hard,hard
517,not,English (American),WS,word,quantifiers,function_words,function_words,not,71280000,825,not,not
518,playground,English (American),WS,word,places,other,other,playground,71366400,826,playground,playground
519,rooster,English (American),WS,word,animals,nouns,nouns,rooster,71539200,828,rooster,rooster
520,mittens,English (American),WS,word,clothing,nouns,nouns,mittens,71712000,830,mittens,mitten
521,lamp,English (American),WS,word,household,nouns,nouns,lamp,71712000,830,lamp,lamp
522,fireman,English (American),WS,word,people,other,other,firefighter,71712000,830,firefighter,firefighter
523,lady,English (American),WS,word,people,other,other,lady,71712000,830,lady,lady
524,cover,English (American),WS,word,action_words,predicates,verbs,cover (action),71712000,830,cover,cover
525,why,English (American),WS,word,question_words,function_words,function_words,why,71712000,830,why,why
526,with,English (American),WS,word,locations,function_words,function_words,with,71712000,830,with,with
527,dryer,English (American),WS,word,furniture_rooms,nouns,nouns,dryer,71798400,831,dryer,dryer
528,pour,English (American),WS,word,action_words,predicates,verbs,pour,71798400,831,pour,pour
529,taste,English (American),WS,word,action_words,predicates,verbs,taste,71798400,831,taste,taste
530,sauce,English (American),WS,word,food_drink,nouns,nouns,sauce,71884800,832,sauce,sauce
531,listen,English (American),WS,word,action_words,predicates,verbs,listen,71884800,832,listen,listen
532,pony,English (American),WS,word,animals,nouns,nouns,pony,72057600,834,pony,pony
533,farm,English (American),WS,word,places,other,other,farm,72057600,834,farm,farm
534,chase,English (American),WS,word,action_words,predicates,verbs,chase,72144000,835,chase,chase
535,new,English (American),WS,word,descriptive_words,predicates,adjectives,new,72144000,835,new,new
536,he,English (American),WS,word,pronouns,function_words,function_words,he,72144000,835,he,he
537,need/need to,English (American),WS,word,helping_verbs,function_words,function_words,need,72144000,835,need,need
538,jello,English (American),WS,word,food_drink,nouns,nouns,jello,72230400,836,jello,jello
539,melon,English (American),WS,word,food_drink,nouns,nouns,melon,72230400,836,melon,melon
540,nail,English (American),WS,word,household,nouns,nouns,nail (object),72230400,836,nail,nail
541,finish,English (American),WS,word,action_words,predicates,verbs,finish,72230400,836,finish,finish
542,mad,English (American),WS,word,descriptive_words,predicates,adjectives,mad,72316800,837,mad,mad
543,who,English (American),WS,word,question_words,function_words,function_words,who,72316800,837,who,who
544,did/did ya,English (American),WS,word,helping_verbs,function_words,function_words,did,72316800,837,did,did
545,pick,English (American),WS,word,action_words,predicates,verbs,pick,72403200,838,pick,pick
546,is,English (American),WS,word,helping_verbs,function_words,function_words,is,72489600,839,is,is
547,gentle,English (American),WS,word,descriptive_words,predicates,adjectives,gentle,72662400,841,gentle,gentle
548,another,English (American),WS,word,quantifiers,function_words,function_words,another,72662400,841,another,another
549,noisy,English (American),WS,word,descriptive_words,predicates,adjectives,noisy,72748800,842,noisy,noisy
550,teacher,English (American),WS,word,people,other,other,teacher,72835200,843,teacher,teacher
551,first,English (American),WS,word,descriptive_words,predicates,adjectives,first,72835200,843,first,first
552,salt,English (American),WS,word,food_drink,nouns,nouns,salt,73008000,845,salt,salt
553,try/try to,English (American),WS,word,helping_verbs,function_words,function_words,try,73094400,846,try,try
554,gas station,English (American),WS,word,places,other,other,gas station,73267200,848,gas station,gas station
555,at,English (American),WS,word,locations,function_words,function_words,at,73267200,848,at,at
556,donkey,English (American),WS,word,animals,nouns,nouns,donkey,73353600,849,donkey,donkey
557,mailman,English (American),WS,word,people,other,other,mailman,73353600,849,mailman,mailman
558,day,English (American),WS,word,time_words,other,other,day,73353600,849,day,day
559,wolf,English (American),WS,word,animals,nouns,nouns,wolf,73440000,850,wolf,wolf
560,picnic,English (American),WS,word,places,other,other,picnic,73526400,851,picnic,picnic
561,police,English (American),WS,word,people,other,other,police,73526400,851,police,police
562,coke,English (American),WS,word,food_drink,nouns,nouns,coke,73699200,853,coke,coke
563,fit,English (American),WS,word,action_words,predicates,verbs,fit,73699200,853,fit,fit
564,for,English (American),WS,word,locations,function_words,function_words,for,73699200,853,for,for
565,slow,English (American),WS,word,descriptive_words,predicates,adjectives,slow,73785600,854,slow,slow
566,pudding,English (American),WS,word,food_drink,nouns,nouns,pudding,73958400,856,pudding,pudding
567,jar,English (American),WS,word,household,nouns,nouns,jar,74044800,857,jar,jar
568,garden,English (American),WS,word,outside,nouns,nouns,garden,74044800,857,garden,garden
569,roof,English (American),WS,word,outside,nouns,nouns,roof,74217600,859,roof,roof
570,other,English (American),WS,word,quantifiers,function_words,function_words,other,74217600,859,other,other
571,on top of,English (American),WS,word,locations,function_words,function_words,on top of,74390400,861,on top of,on top of
572,sprinkler,English (American),WS,word,outside,nouns,nouns,sprinkler,74476800,862,sprinkler,sprinkler
573,your,English (American),WS,word,pronouns,function_words,function_words,your,74476800,862,your,your
574,today,English (American),WS,word,time_words,other,other,today,74563200,863,today,today
575,she,English (American),WS,word,pronouns,function_words,function_words,she,74563200,863,she,she
576,a lot,English (American),WS,word,quantifiers,function_words,function_words,a lot,74563200,863,a lot,a lot
577,tricycle,English (American),WS,word,vehicles,nouns,nouns,tricycle,74649600,864,tricycle,tricycle
578,tomorrow,English (American),WS,word,time_words,other,other,tomorrow,74649600,864,tomorrow,tomorrow
579,these,English (American),WS,word,pronouns,function_words,function_words,these,74649600,864,these,these
580,behind,English (American),WS,word,locations,function_words,function_words,behind,74649600,864,behind,behind
581,by,English (American),WS,word,locations,function_words,function_words,by,74736000,865,by,by
582,glue,English (American),WS,word,toys,nouns,nouns,glue,74822400,866,glue,glue
583,am,English (American),WS,word,helping_verbs,function_words,function_words,am,74822400,866,am,am
584,mop,English (American),WS,word,household,nouns,nouns,mop,74995200,868,mop,mop
585,hafta/have to,English (American),WS,word,helping_verbs,function_words,function_words,hafta,75254400,871,hafta,hafta
586,old,English (American),WS,word,descriptive_words,predicates,adjectives,old,75340800,872,old,old
587,moose,English (American),WS,word,animals,nouns,nouns,moose,75600000,875,moose,moose
588,after,English (American),WS,word,time_words,other,other,after,75600000,875,after,after
589,beads,English (American),WS,word,clothing,nouns,nouns,beads,75859200,878,beads,bead
590,her,English (American),WS,word,pronouns,function_words,function_words,her,75859200,878,her,her
591,dump,English (American),WS,word,action_words,predicates,verbs,dump,76032000,880,dump,dump
592,are,English (American),WS,word,helping_verbs,function_words,function_words,are,76032000,880,are,are
593,long,English (American),WS,word,descriptive_words,predicates,adjectives,long,76118400,881,long,long
594,tear,English (American),WS,word,action_words,predicates,verbs,tear,76204800,882,tear,tear
595,any,English (American),WS,word,quantifiers,function_words,function_words,any,76204800,882,any,any
596,ankle,English (American),WS,word,body_parts,nouns,nouns,ankle,76464000,885,ankle,ankle
597,around,English (American),WS,word,locations,function_words,function_words,around,76464000,885,around,around
598,sneaker,English (American),WS,word,clothing,nouns,nouns,sneaker,76636800,887,sneaker,sneaker
599,him,English (American),WS,word,pronouns,function_words,function_words,him,76636800,887,him,him
600,we,English (American),WS,word,pronouns,function_words,function_words,we,76636800,887,we,we
601,how,English (American),WS,word,question_words,function_words,function_words,how,76809600,889,how,how
602,porch,English (American),WS,word,furniture_rooms,nouns,nouns,porch,76982400,891,porch,porch
603,hen,English (American),WS,word,animals,nouns,nouns,hen,77241600,894,hen,hen
604,pretend,English (American),WS,word,action_words,predicates,verbs,pretend,77328000,895,pretend,pretend
605,think,English (American),WS,word,action_words,predicates,verbs,think,77414400,896,think,think
606,sled,English (American),WS,word,vehicles,nouns,nouns,sled,77500800,897,sled,sled
607,those,English (American),WS,word,pronouns,function_words,function_words,those,77500800,897,those,those
608,his,English (American),WS,word,pronouns,function_words,function_words,his,77587200,898,his,his
609,fine,English (American),WS,word,descriptive_words,predicates,adjectives,fine,77846400,901,fine,fine
610,myself,English (American),WS,word,pronouns,function_words,function_words,myself,77846400,901,myself,myself
611,skate,English (American),WS,word,action_words,predicates,verbs,skate,77932800,902,skate,skate
612,tiny,English (American),WS,word,descriptive_words,predicates,adjectives,tiny,77932800,902,tiny,tiny
613,because,English (American),WS,word,connecting_words,function_words,function_words,because,78019200,903,because,because
614,tuna,English (American),WS,word,food_drink,nouns,nouns,tuna,78105600,904,tuna,tuna
615,cowboy,English (American),WS,word,people,other,other,cowboy,78105600,904,cowboy,cowboy
616,sofa,English (American),WS,word,furniture_rooms,nouns,nouns,sofa,78192000,905,sofa,sofa
617,will,English (American),WS,word,helping_verbs,function_words,function_words,will,78278400,906,will,will
618,bench,English (American),WS,word,furniture_rooms,nouns,nouns,bench,78364800,907,bench,bench
619,be,English (American),WS,word,helping_verbs,function_words,function_words,be,78451200,908,be,be
620,rip,English (American),WS,word,action_words,predicates,verbs,rip,78537600,909,rip,rip
621,stone,English (American),WS,word,outside,nouns,nouns,stone,78624000,910,stone,stone
622,tonight,English (American),WS,word,time_words,other,other,tonight,78710400,911,tonight,tonight
623,they,English (American),WS,word,pronouns,function_words,function_words,they,78796800,912,they,they
624,gotta/got to,English (American),WS,word,helping_verbs,function_words,function_words,gotta,78796800,912,gotta,gotta
625,time,English (American),WS,word,time_words,other,other,time,78883200,913,time,time
626,next to,English (American),WS,word,locations,function_words,function_words,next to,78883200,913,next to,next to
627,same,English (American),WS,word,quantifiers,function_words,function_words,same,78883200,913,same,same
628,circus,English (American),WS,word,places,other,other,circus,78969600,914,circus,circus
629,play pen,English (American),WG,word,furniture_rooms,nouns,nouns,play pen,78969600,914,play pen,play pen
630,babysitter,English (American),WG,word,people,other,other,babysitter,78969600,914,babysitter,babysitter
631,child,English (American),WG,word,people,other,other,child,78969600,914,child,child
632,person,English (American),WG,word,people,other,other,person,78969600,914,person,person
633,naughty,English (American),WG,word,descriptive_words,predicates,adjectives,naughty,78969600,914,naughty,naughty
634,when,English (American),WG,word,question_words,function_words,function_words,when (question),78969600,914,when,when
635,in,English (American),WG,word,locations,function_words,function_words,in,78969600,914,in,in
636,inside,English (American),WG,word,locations,function_words,function_words,inside,78969600,914,inside,inside
637,none,English (American),WG,word,quantifiers,function_words,function_words,none,78969600,914,none,none
